product_id,store_name,product_name,brand,price_eur,last_updated,city
CP0001,Conad,Sapori e Dintorni Mozzarella confezione,Sapori e Dintorni,2.38,2026-01-15T00:00:00,Milan
CP0002,Conad,Ferrero Mozzarella di Bufala confezione,Ferrero,2.47,2026-03-09T00:00:00,Milan
CP0003,Conad,Fior di latte mozzarella 200g,Conad,2.8,2026-03-19T00:00:00,Milan
CP0004,Conad, Parmalat Greek Yogurt,Parmalat,2.62,2026-03-07T00:00:00,Milan
CP0005,Conad,Strawberry Yogurt,Petfriends,2.33,2026-03-27T00:07:00,Milan
CP0006,Conad,Plain Yogurt 500g,Verso Natura,2.83,2026-01-23T00:00:00,Milan
CP0007,Conad,Verso Natura Whole Milk,Verso Natura,2.51,2026-01-03T00:00:00,Milan
CP0008,Conad,Semi-skimmed Milk 1l,Sapori e Dintorni,0.0,2026-04-05T00:00:00,Milan
CP0009,CONAD,Piacersi Lactose Free Milk,Piacersi,2.6,2026-02-09T01:29:00,Milan
CP0010,Conad,Conad Unsalted Butter confezione,Conad,3.06,2026-04-27T00:00:00,Milan
CP0011,Conad,Salted Butter 250g,Verso Natura,2.6,2026-02-11T21:37:00,Milan
CP0012,Conad,Verso Natura Parmigiano Reggiano,Verso Natura,2.85,2026-02-16T19:41:00,Milan
CP0013,Conad,Gorgonzola 150g,Conad,1.78,2026-04-28T00:00:00,Milan
CP0014,Conad,Conad Kids Ricotta confezione,Conad Kids,1.48,2026-01-22T00:00:00,Milan
CP0015,Conad,Whole Wheat Bread 500g,Piacersi,3.46,2026-01-02T15:03:00,Milan
CP0016,Conad,Ciabatta 300g,Sapori e Dintorni,1.58,2026-02-20T00:00:00,Milan
CP0017,Conad,Sandwich Bread,Rio Mare,3.27,2026-03-03T00:00:00,Milan
CP0018,CONAD,Butter Croissant,Petfriends,3.47,2026-01-28T00:00:00,Milan
CP0019,Conad,Chocolate Croissant 6pcs,Conad Kids,2.0,2026-03-11T00:00:00,Milan
CP0020,Conad,Chocolate Chip Cookies,Piacersi,2.51,2026-03-20T01:18:00,Milan
CP0021,Conad,Digestive Biscuits 400g,Verso Natura,2.15,2026-01-05T00:00:00,Milan
CP0022,Conad,Conad Kids Cherry Tomatoes,Conad Kids,1.89,2026-03-24T00:00:00,Milan
CP0023,Conad,Sapori e Dintorni Round Tomatoes,Sapori e Dintorni,2.82,2026-03-12T09:50:00,Milan
CP0024,Conad,Iceberg Lettuce 1pcs ,Sapori e Dintorni,3.46,2026-04-11T02:11:00,Milan
CP0025,Conad,Rocket Salad,Sapori e Dintorni,3.88,2026-01-29T00:00:00,Milan
CP0026,Conad,GOLDEN APPLES 1KG,Sapori e Dintorni,2.95,2026-03-23T05:13:00,Milan
CP0027,Conad,Verso Natura Pink Lady Apples,Verso Natura,3.17,2026-02-10T00:00:00,Milan
CP0028,Conad,Lavazza Bananas,Lavazza,2.37,2026-03-21T00:00:00,Milan
CP0029,Conad,Conad Potatoes confezione,Conad,1.68,2026-04-06T11:04:00,Milan
CP0030,Conad,Aia Chicken Breast,Aia,4.88,2026-04-17T13:33:00,Milan
CP0031,Conad,Chicken Thighs 500g,Mulino Bianco,4.08,2026-03-04T23:30:00,Milan
CP0032,Conad,Petfriends Minced Beef confezione,Petfriends,7.44,2026-01-07T00:00:00,Milan
CP0033,Conad,Beef Steak, Petfriends,4.16,2026-04-10T00:00:00,Milan
CP0034,Conad,Petfriends Prosciutto Cotto,Petfriends,5.27,2026-02-02T00:00:00,Milan
CP0035,Conad,Conad Kids Salame Milano,Conad Kids,5.92,2026-03-28T01:59:00,Milan
CP0036,Conad,Petfriends Spaghetti confezione,Petfriends,3.96,2026-02-13T00:00:00,Milan
CP0037,Conad,Penne Rigate,Conad Kids,1.94,2026-02-12T00:00:00,Milan
CP0038,Conad,Fusilli,Verso Natura,4.39,2026-02-17T00:00:00,Milan
CP0039,Conad,Conad Carnaroli Rice confezione,Conad,2.41,2026-03-19T08:59:00,Milan
CP0040,Conad,Sapori e Dintorni Basmati Rice confezione,Sapori e Dintorni,3.97,2026-03-10T00:00:00,Milan
CP0041,Conad,Sapori e Dintorni Tomato Passata confezione,Sapori e Dintorni,2.12,2026-04-12T00:00:00,Milan
CP0042,Conad,Petfriends Pesto Genovese,Petfriends,2.48,2026-02-25T19:34:00,Milan
CP0043,Conad,Conad Extra Virgin Olive Oil confezione,Conad,2.0,2026-02-09T08:30:00,Milan
CP0044,Conad,Sunflower Oil 1l,Verso Natura,3.48,2026-03-19T00:00:00,Milan
CP0045,Conad,All Purpose Flour,Sapori e Dintorni,3.64,2026-01-01T23:14:00,Milan
CP0046,Conad,00 Flour,Piacersi,3.28,2026-02-23T00:00:00,Milan
CP0047,Conad,Parmalat White Sugar confezione,Parmalat,2.74,2026-03-11T00:00:00,Milan
