product_id,store_name,product_name,brand,price_eur,last_updated,city
CP0001,Esselunga,Atlante Mozzarella 125g,Atlante,2.4,2026-02-22T04:03:00,Milan
CP0002,Esselunga,Mozzarella di Bufala 125g,Bio,2.38,2026-01-25T00:00:00,Milan
CP0003,Esselunga,Esselunga Fior di latte mozzarella,Esselunga,2.17,2026-03-10T00:00:00,Milan
CP0004,Esselunga,Fidaty Greek Yogurt 170g,Fidaty,2.92,2026-01-10T00:00:00,Milan
CP0005,Esselunga,Strawberry Yogurt,Smart,1.59,2026-03-23T00:00:00,Milan
CP0006,Esselunga,Top Plain Yogurt, Top ,1.71,2026-01-03T00:00:00,Milan
CP0007,Esselunga,Top Whole Milk,Top,2.3,2026-03-11T00:00:00,Milan
CP0008,Esselunga,Esselunga Semi-skimmed Milk 1l,Esselunga ,1.72,2026-01-27T00:00:00,Milan
CP0009,Esselunga,Ferrero Lactose Free Milk 1l,Ferrero,2.33,2026-03-31T00:00:00,Milan
CP0010,Esselunga,Unsalted Butter,Esselunga,2.52,2026-03-18T09:15:00,Milan
CP0011,Esselunga,Salted Butter 250g,Smart,1.86,2026-01-22T00:00:00,Milan
CP0012,Esselunga,Bio Parmigiano Reggiano,Bio,2.72,2026-01-14T23:48:00,Milan
CP0013,Esselunga,Atlante Gorgonzola 150g,Atlante,1.82,2026-02-04T06:55:00,Milan
CP0014,Esselunga,Rio Mare Ricotta 250g,rio mare,3.31,2026-01-27T16:49:00,Milan
CP0015,Esselunga,whole wheat bread,Fidaty ,2.23,2026-02-28T10:38:00,Milan
CP0016,Esselunga,Ciabatta 300g,Smart,2.57,2026-04-05T00:00:00,Milan
CP0017,Esselunga,Top Sandwich Bread,Top,3.05,2026-03-26T00:00:00,Milan
CP0018,Esselunga,Butter Croissant,Atlante,2.19,2026-03-22T18:31:00,Milan
CP0019,Esselunga,Smart Chocolate Croissant 6pcs,Smart,1.83,2026-02-08T00:00:00,Milan
CP0020,Esselunga,Chocolate Chip Cookies 300g,Lavazza,3.32,2026-03-22T21:08:00,Milan
CP0021,Esselunga,Digestive Biscuits 400g,Naturama,2.67,2026-03-17T08:02:00,Milan
CP0022,Esselunga,Cherry Tomatoes 500g,Top,3.0,2026-04-10T04:20:00,Milan
CP0023,Esselunga,Naturama Round Tomatoes 1kg,Naturama,4.16,2026-01-25T00:00:00,Milan
CP0024,Esselunga,Iceberg Lettuce,Top,3.95,2026-04-10T00:00:00,Milan
CP0025,Esselunga,Smart Rocket Salad,Smart,2.46,2026-01-10T00:00:00,Milan
CP0026,Esselunga, Atlante Golden Apples 1kg,Atlante,3.41,2026-03-28T08:34:00,Milan
CP0027,Esselunga,Pink Lady Apples,Atlante,3.36,2026-04-01T05:54:00,Milan
CP0028,Esselunga,Bananas 1kg,Top,3.34,2026-05-01T00:00:00,Milan
CP0029,Esselunga,Smart Potatoes,Smart,1.92,2026-01-06T22:06:00,Milan
CP0030,Esselunga,Naturama Chicken Breast,Naturama,6.99,2026-02-21T16:52:00,Milan
CP0031,Esselunga,Naturama Chicken Thighs 500g,Naturama,9.41,2026-02-14T23:49:00,Milan
CP0032,Esselunga,Minced Beef,Esselunga ,9.27,2026-02-23T15:28:00,Milan
CP0033,Esselunga,Beef Steak 300g,Esselunga,7.61,2026-03-31T00:52:00,Milan
CP0034,Esselunga,Prosciutto Cotto, Atlante ,4.19,2026-02-05T11:43:00,Milan
CP0035,Esselunga,De Cecco Salame Milano,De Cecco,6.97,2026-03-09T21:23:00,Milan
CP0036,Esselunga,Spaghetti,Rio Mare,2.17,2026-04-24T04:02:00,Milan
CP0037,Esselunga,Penne Rigate 500g,Fidaty,4.36,2026-01-23T11:42:00,Milan
CP0038,Esselunga,Fusilli,Fidaty,3.34,2026-03-08T17:45:00,Milan
CP0039,Esselunga,Carnaroli Rice,Aia,2.73,2026-04-21T00:00:00,Milan
CP0040,Esselunga,Atlante Basmati Rice 1kg,Atlante,3.66,2026-04-09T00:00:00,Milan
CP0041,Esselunga,Bio Tomato Passata 700ml,Bio,4.12,2026-04-22T23:14:00,Milan
CP0042,Esselunga,Pesto Genovese,Esselunga,4.42,2026-03-13T00:00:00,Milan
CP0043,Esselunga,Smart Extra Virgin Olive Oil,Smart,2.07,2026-04-17T18:57:00,Milan
CP0044,Esselunga,Sunflower Oil,Naturama,2.88,2026-04-23T01:38:00,Milan
CP0045,esselunga,Barilla All Purpose Flour,Barilla,3.64,2026-02-18T22:45:00,Milan
CP0046,Esselunga,00 Flour,de cecco,3.3,2026-01-12T15:38:00,Milan
CP0047,Esselunga, Atlante White Sugar 1kg,Atlante,4.35,2026-01-01T13:08:00,Milan
CP0048,Esselunga,Lavazza Brown Sugar 1kg,Lavazza,2.71,2026-02-19T00:00:00,Milan
CP0049,Esselunga,Ground Coffee,Top,2.83,2026-04-23T00:00:00,Milan
CP0050,Esselunga, Coffee Beans,Bio,2.19,2026-04-20T16:30:00,Milan
CP0051,Esselunga,Corn Flakes,Bio,3.18,2026-03-14T04:47:00,Milan
CP0052,Esselunga,Aia Muesli 750g,Aia,4.55,2026-03-23T00:00:00,Milan
CP0053,Esselunga,Lavazza Margherita Pizza 350g,Lavazza,6.13,2026-02-23T00:00:00,Milan
CP0054,Esselunga,Smart Vegetable Pizza 380g,smart,4.21,2026-02-27T00:00:00,Milan
CP0055,Esselunga,Atlante Frozen Peas 450g, Atlante,5.44,2026-02-04T00:00:00,Milan
CP0056,Esselunga,Frozen Spinach 450g,Bio,5.31,2026-02-24T07:56:00,Milan
CP0057,Esselunga,Frozen Salmon Fillets 400g,Smart,4.11,2026-02-25T00:00:00,Milan
CP0058,Esselunga,Fish Fingers,Fidaty,5.77,2026-03-08T00:00:00,Milan
CP0059,Esselunga,Rio Mare Still Water 1.5l,Rio Mare,2.68,2026-02-05T00:00:00,Milan
CP0060,Esselunga,SPARKLING WATER 1.5L,Top,1.7,2026-04-04T00:00:00,Milan
CP0061,Esselunga,Esselunga Orange Juice,Esselunga,2.29,2026-01-31T00:00:00,Milan
CP0062,Esselunga,Naturama Apple Juice,Naturama,1.37,2026-03-18T00:00:00,Milan
CP0063,Esselunga,Barilla Cola,Barilla,1.96,2026-02-26T00:00:00,Milan
CP0064,Esselunga,Lemon Soda,Esselunga,1.86,2026-01-08T19:24:00,Milan
CP0065,Esselunga,Smart Green Tea 20pcs,Smart,1.13,2026-01-18T00:00:00,Milan
CP0066,Esselunga,Smart Black Tea,Smart,1.85,2026-04-11T00:00:00,Milan
CP0067,Esselunga,Atlante Dish Soap 750ml,Atlante,4.32,2026-03-28T10:03:00,Milan
CP0068,Esselunga,Laundry Detergent 1.5l,Top,7.11,2026-01-23T00:00:00,Milan
CP0069,Esselunga,Naturama Toilet Paper,Naturama,7.31,2026-02-20T00:00:00,Milan
CP0070,Esselunga,Top Kitchen Towels 4pcs,Top,0.0,2026-04-23T18:40:00,Milan
CP0071,Esselunga,Multi Surface Cleaner 750ml,PARMALAT,5.43,2026-04-29T07:54:00,Milan
CP0072,Esselunga,Smart Bleach,Smart,4.43,2026-01-31T02:25:00,Milan
CP0073,Esselunga,Shampoo 250ml,Top,2.8,2026-04-23T00:00:00,Milan
CP0074,Esselunga,Atlante Conditioner 250ml,Atlante,6.84,2026-01-17T00:00:00,Milan
CP0075,Esselunga,Lavazza Hand Soap,Lavazza,5.09,2026-01-26T00:03:00,Milan
CP0076,Esselunga,Bio Body Wash 500ml,Bio,6.51,2026-02-05T00:00:00,Milan
CP0077,Esselunga,Toothpaste,Mulino Bianco,4.66,2026-01-02T00:00:00,Milan
CP0078,Esselunga,Mozzarella Premium 93.75g,Ferrero,3.4,2026-02-05T14:05:00,Milan
CP0079,Esselunga,Mozzarella di Bufala Premium,Fidaty,1.63,2026-02-10T00:00:00,Milan
CP0080,Esselunga,Naturama Fior di latte mozzarella Premium 200g,Naturama,3.48,2026-01-01T00:00:00,Milan
CP0081,Esselunga,Smart Greek Yogurt Premium,Smart,2.94,2026-03-04T00:00:00,Milan
CP0082,Esselunga,Naturama Strawberry Yogurt Premium,Naturama,2.27,2026-03-09T00:00:00,Milan
CP0083,Esselunga,Plain Yogurt Premium 500g, Fidaty,3.06,2026-02-09T00:00:00,Milan
CP0084,Esselunga,Bio Whole Milk Premium 0.75l,Bio,1.56,2026-04-25T07:23:00,Milan
CP0085,Esselunga,Semi-skimmed Milk Premium 1.5l, Smart ,1.71,2026-01-21T00:00:00,Milan
CP0086,Esselunga,Ferrero Lactose Free Milk Premium 0.75l,Ferrero,1.45,2026-01-02T00:00:00,Milan
CP0087,Esselunga,Smart Unsalted Butter Premium 375g,Smart,2.45,2026-01-04T07:35:00,Milan
CP0088,Esselunga,Naturama Salted Butter Premium,Naturama,3.3,2026-05-01T14:47:00,Milan
CP0089,Esselunga,Bio Parmigiano Reggiano Premium,Bio,3.05,2026-02-12T07:46:00,Milan
CP0090,Esselunga,Gorgonzola Premium,Ferrero,2.05,2026-02-17T10:31:00,Milan
CP0091,Esselunga,Parmalat Ricotta Premium 187.5g,Parmalat,3.51,2026-01-08T13:33:00,Milan
CP0092,Esselunga,Whole Wheat Bread Premium,Granarolo,2.58,2026-02-02T00:00:00,Milan
CP0093,Esselunga,Fidaty Ciabatta Premium,Fidaty,2.56,2026-04-05T20:27:00,Milan
CP0094,Esselunga, Top Sandwich Bread Premium 825g,Top,2.48,2026-01-26T00:00:00,Milan
CP0095,Esselunga,Atlante Butter Croissant Premium 9pcs,Atlante,2.67,2026-03-17T03:15:00,Milan
CP0096,Esselunga,Chocolate Croissant Premium,Atlante,2.94,2026-03-10T00:00:00,Milan
CP0097,Esselunga,Bio Chocolate Chip Cookies Premium,bio,3.53,2026-01-13T00:00:00,Milan
CP0098,Esselunga,Lavazza Digestive Biscuits Premium, Lavazza ,2.51,2026-01-05T21:45:00,Milan
CP0099,Esselunga,CHERRY TOMATOES PREMIUM 750G,Smart,2.14,2026-02-02T10:24:00,Milan
CP0100,Esselunga,Round Tomatoes Premium,Granarolo,2.04,2026-04-30T00:38:00,Milan
CP0101,Esselunga,Atlante Iceberg Lettuce Premium 1pcs,Atlante,3.31,2026-02-05T12:56:00,Milan
CP0102,Esselunga,Rocket Salad Premium,Top,2.45,2026-04-22T00:00:00,Milan
CP0103,Esselunga,Golden Apples Premium ,Top,3.18,2026-04-30T01:00:00,Milan
CP0104,Esselunga,De Cecco Pink Lady Apples Premium,De Cecco,1.82,2026-01-22T00:00:00,Milan
CP0105,Esselunga,Bananas Premium 0.75kg,Smart,3.69,2026-05-01T00:00:00,Milan
CP0106,Esselunga,De Cecco Potatoes Premium 2kg,De Cecco,2.55,2026-01-23T00:00:00,Milan
CP0107,Esselunga,Chicken Breast Premium,Bio,0.0,2026-02-24T16:37:00,Milan
CP0108,Esselunga,Smart Chicken Thighs Premium 500g,Smart,4.92,2026-04-16T06:47:00,Milan
CP0109,Esselunga,Minced Beef Premium,Esselunga,5.51,2026-02-01T00:00:00,Milan
CP0110,Esselunga,Barilla Beef Steak Premium,Barilla,6.31,2026-01-30T00:00:00,Milan
CP0111,Esselunga,Smart Prosciutto Cotto Premium 120g,Smart,4.88,2026-03-04T00:00:00,Milan
CP0112,Esselunga,Salame Milano Premium,Top,5.13,2026-03-15T02:28:00,Milan
CP0113,Esselunga,Bio Spaghetti Premium 375g,Bio,4.77,2026-01-10T16:05:00,Milan
CP0114,Esselunga,Penne Rigate Premium,Mulino Bianco,3.6,2026-01-31T00:00:00,Milan
CP0115,Esselunga,Fusilli Premium 625g,Smart,3.07,2026-01-30T15:20:00,Milan
CP0116,Esselunga,Carnaroli Rice Premium 0.75kg,Aia,5.08,2026-03-03T00:00:00,Milan
CP0117,Esselunga,Mutti Basmati Rice Premium,Mutti,3.54,2026-01-15T00:00:00,Milan
CP0118,Esselunga,Tomato Passata Premium,Atlante,4.75,2026-02-24T01:46:00,Milan
CP0119,Esselunga,Top Pesto Genovese Premium,Top,3.3,2026-04-04T00:00:00,Milan
CP0120,Esselunga, Fidaty Extra Virgin Olive Oil Premium ,Fidaty,4.13,2026-03-06T00:00:00,Milan
CP0121,Esselunga,Bio Sunflower Oil Premium 0.75l,Bio,2.62,2026-04-29T00:00:00,Milan
CP0122,Esselunga,Galbani All Purpose Flour Premium,Galbani,3.17,2026-02-19T00:00:00,Milan
CP0123,Esselunga, 00 Flour Premium ,Fidaty,4.9,2026-01-07T00:00:00,Milan
CP0124,Esselunga,Naturama White Sugar Premium 0.75kg,Naturama,4.12,2026-03-05T06:09:00,Milan
CP0125,Esselunga,Brown Sugar Premium 1.25kg,Smart,3.57,2026-03-25T00:00:00,Milan
CP0126,Esselunga,Ground Coffee Premium,Esselunga,4.09,2026-03-06T00:00:00,Milan
CP0127,Esselunga,Atlante Coffee Beans Premium 750g,Atlante,2.82,2026-03-01T08:30:00,Milan
CP0128,Esselunga,Corn Flakes Premium,Ferrero,3.62,2026-03-14T13:25:00,Milan
CP0129,Esselunga,Muesli Premium 1125g,Top,4.87,2026-02-26T00:00:00,Milan
CP0130,Esselunga, Margherita Pizza Premium 350g,Smart,4.31,2026-02-03T03:42:00,Milan
CP0131,Esselunga,Vegetable Pizza Premium 570g,Naturama,3.09,2026-04-10T15:09:00,Milan
CP0132,Esselunga,Frozen Peas Premium 450g,Bio,3.84,2026-03-10T00:00:00,Milan
CP0133,Esselunga,Frozen Spinach Premium,Top,5.72,2026-01-15T07:37:00,Milan
CP0134,Esselunga, Frozen Salmon Fillets Premium,Bio,4.38,2026-03-17T00:00:00,Milan
CP0135,Esselunga,Aia Fish Fingers Premium 300g,aia,5.6,2026-02-24T00:00:00,Milan
CP0136,Esselunga,Top Still Water Premium 1.5l,Top,1.62,2026-01-27T01:06:00,Milan
CP0137,Esselunga,Naturama Sparkling Water Premium,Naturama,2.0,2026-03-17T17:23:00,Milan
CP0138,Esselunga,Orange Juice Premium,Atlante,1.38,2026-01-08T11:34:00,Milan
CP0139,Esselunga,Parmalat Apple Juice Premium 0.75l,Parmalat,2.7,2026-01-21T00:00:00,Milan
CP0140,Esselunga,cola premium 1.88l,top,2.43,2026-03-26T12:17:00,Milan
CP0141,Esselunga,Lemon Soda Premium,Aia,1.33,2026-03-23T10:44:00,Milan
CP0142,Esselunga,Green Tea Premium 25pcs,Smart,1.58,2026-03-18T00:00:00,Milan
CP0143,Esselunga,Black Tea Premium 25pcs,Bio,1.85,2026-03-05T00:00:00,Milan
CP0144,Esselunga,Dish Soap Premium,Bio,5.07,2026-03-10T07:44:00,Milan
CP0145,Esselunga,Atlante Laundry Detergent Premium,Atlante,5.77,2026-03-27T00:00:00,Milan
CP0146,Esselunga,Toilet Paper Premium 8pcs, Mulino Bianco ,5.53,2026-04-13T00:00:00,Milan
CP0147,Esselunga,Kitchen Towels Premium 4pcs ,Lavazza,4.33,2026-02-22T17:34:00,Milan
CP0148,Esselunga,Multi Surface Cleaner Premium 750ml,Mulino Bianco,3.89,2026-03-26T07:08:00,Milan
CP0149,Esselunga,Bleach Premium 1.5l,granarolo,6.65,2026-02-26T06:35:00,Milan
CP0150,Esselunga,Shampoo Premium 375ml,Atlante,4.25,2026-01-28T00:00:00,Milan
CP0151,Esselunga,Conditioner Premium,Fidaty,3.24,2026-03-13T00:00:00,Milan
CP0152,Esselunga,Hand Soap Premium,Bio,0.0,2026-02-09T00:00:00,Milan
CP0153,Esselunga,Body Wash Premium,Naturama,3.17,2026-02-27T00:00:00,Milan
CP0154,Esselunga,Atlante Toothpaste Premium,Atlante,5.89,2026-03-16T00:00:00,Milan
CP0155,Esselunga,Bio Mozzarella Bio,Bio,2.47,2026-04-17T00:00:00,Milan
CP0156,Esselunga,Mozzarella di Bufala Bio,Atlante,1.48,2026-04-05T00:00:00,Milan
CP0157,Esselunga,Fior di latte mozzarella Bio,Top ,3.37,2026-03-12T00:00:00,Milan
CP0158,Esselunga,Atlante Greek Yogurt Bio 255g,Atlante,2.05,2026-02-09T00:00:00,Milan
CP0159,Esselunga,Smart Strawberry Yogurt Bio 2pcs, Smart ,1.94,2026-01-19T13:57:00,Milan
CP0160,Esselunga,Esselunga Plain Yogurt Bio 500g,Esselunga,1.46,2026-04-05T00:04:00,Milan
CP0161,Esselunga,Fidaty Whole Milk Bio,Fidaty,2.59,2026-01-22T00:00:00,Milan
CP0162,Esselunga,Semi-skimmed Milk Bio,Naturama,3.54,2026-04-30T00:00:00,Milan
CP0163,Esselunga, Smart Lactose Free Milk Bio 0.75l ,Smart,2.54,2026-02-27T04:09:00,Milan
CP0164,Esselunga,Atlante Unsalted Butter Bio,Atlante,1.74,2026-01-30T00:00:00,Milan
CP0165,Esselunga,Atlante Salted Butter Bio 312.5g,Atlante,3.25,2026-02-24T23:21:00,Milan
CP0166,Esselunga,Parmigiano Reggiano Bio 200g,Atlante,1.85,2026-03-23T00:00:00,Milan
CP0167,Esselunga,Atlante Gorgonzola Bio,Atlante,3.21,2026-04-03T09:56:00,Milan
CP0168,Esselunga,Ricotta Bio,Naturama,3.42,2026-03-30T00:00:00,Milan
CP0169,Esselunga,Top Whole Wheat Bread Bio,Top,3.83,2026-03-31T19:37:00,Milan
CP0170,Esselunga,Ciabatta Bio 300g,Bio,3.06,2026-01-13T16:40:00,Milan
CP0171,Esselunga,Sandwich Bread Bio,Esselunga,3.54,2026-04-27T00:00:00,Milan
CP0172,Esselunga,Atlante Butter Croissant Bio 7.5pcs,Atlante,3.04,2026-01-14T15:10:00,Milan
CP0173,Esselunga,Galbani Chocolate Croissant Bio 7.5pcs,Galbani,2.52,2026-03-22T00:00:00,Milan
CP0174,Esselunga, Naturama Chocolate Chip Cookies Bio 375g ,Naturama,1.86,2026-01-17T00:00:00,Milan
CP0175,Esselunga,Aia Digestive Biscuits Bio 400g,Aia,2.25,2026-01-11T00:00:00,Milan
CP0176,Esselunga,Fidaty Cherry Tomatoes Bio 500g,Fidaty,3.28,2026-03-01T00:00:00,Milan
CP0177,Esselunga,Round Tomatoes Bio,Atlante,2.07,2026-01-07T00:00:00,Milan
CP0178,Esselunga,Iceberg Lettuce Bio,Atlante,2.04,2026-01-04T00:00:00,Milan
CP0179,Esselunga,Ferrero Rocket Salad Bio 187.5g,Ferrero,2.6,2026-04-05T16:08:00,Milan
CP0180,Esselunga,Golden Apples Bio 1.5kg,Naturama,3.27,2026-01-18T00:00:00,Milan
CP0181,Esselunga,Pink Lady Apples Bio,Fidaty,2.9,2026-04-29T00:00:00,Milan
CP0182,Esselunga,Bananas Bio 1.5kg,Fidaty,3.02,2026-02-17T01:49:00,Milan
CP0183,Esselunga,Smart Potatoes Bio 2.5kg,Smart,4.41,2026-03-15T00:00:00,Milan
CP0184,Esselunga,Chicken Breast Bio,Bio,8.02,2026-04-26T00:00:00,Milan
CP0185,Esselunga,Chicken Thighs Bio 625g,Smart,8.97,2026-04-29T00:00:00,Milan
CP0186,Esselunga,Esselunga Minced Beef Bio 400g,ESSELUNGA,6.48,2026-04-28T00:00:00,Milan
CP0187,Esselunga,Naturama Beef Steak Bio,Naturama,8.0,2026-04-04T00:00:00,Milan
CP0188,Esselunga,Prosciutto Cotto Bio 120g,Atlante,7.77,2026-01-15T00:00:00,Milan
CP0189,Esselunga,SALAME MILANO BIO,Atlante,6.61,2026-03-14T00:00:00,Milan
CP0190,Esselunga,Spaghetti Bio,Atlante,2.86,2026-03-17T08:58:00,Milan
CP0191,Esselunga,Penne Rigate Bio 375g,Bio,3.62,2026-04-26T14:51:00,Milan
CP0192,Esselunga,Naturama Fusilli Bio, Naturama,4.84,2026-02-14T00:00:00,Milan
CP0193,Esselunga,Mutti Carnaroli Rice Bio 0.75kg,Mutti,2.39,2026-01-04T00:00:00,Milan
CP0194,Esselunga,Fidaty Basmati Rice Bio,Fidaty,3.49,2026-02-15T05:09:00,Milan
CP0195,Esselunga,Smart Tomato Passata Bio,Smart,4.79,2026-04-03T12:01:00,Milan
CP0196,Esselunga,Pesto Genovese Bio,Bio,4.43,2026-03-16T22:09:00,Milan
CP0197,Esselunga,Extra Virgin Olive Oil Bio 1.5l,Fidaty,2.96,2026-03-07T22:46:00,Milan
CP0198,Esselunga,Bio Sunflower Oil Bio 0.75l, Bio,3.99,2026-05-01T00:00:00,Milan
CP0199,Esselunga,All Purpose Flour Bio,Top,3.26,2026-04-17T00:00:00,Milan
CP0200,Esselunga,Naturama 00 Flour Bio 1.25kg,naturama,3.19,2026-04-04T00:00:00,Milan
CP0201,Esselunga,Top White Sugar Bio 1.5kg,Top,2.69,2026-04-14T03:40:00,Milan
CP0202,Esselunga,Top Brown Sugar Bio,Top,4.92,2026-02-22T09:21:00,Milan
CP0203,Esselunga,Ground Coffee Bio 375g ,Atlante,3.28,2026-03-03T00:00:00,Milan
CP0204,Esselunga,Coffee Beans Bio,Atlante,2.22,2026-02-10T02:31:00,Milan
CP0205,Esselunga,Corn Flakes Bio,Esselunga,3.88,2026-03-21T00:00:00,Milan
CP0206,Esselunga,Top Muesli Bio,Top,2.89,2026-02-21T00:00:00,Milan
CP0207,Esselunga,Rio Mare Margherita Pizza Bio 262.5g,Rio Mare,2.6,2026-04-29T00:00:00,Milan
CP0208,Esselunga,Top Vegetable Pizza Bio 570g,Top,4.88,2026-02-23T00:00:00,Milan
CP0209,Esselunga,Rio Mare Frozen Peas Bio 450g,Rio Mare,3.86,2026-03-02T00:00:00,Milan
CP0210,esselunga,Frozen Spinach Bio 450g,Top,5.8,2026-03-15T08:43:00,Milan
CP0211,Esselunga,Frozen Salmon Fillets Bio,Top,2.82,2026-02-09T00:00:00,Milan
CP0212,Esselunga,Esselunga Fish Fingers Bio ,Esselunga,2.93,2026-01-28T00:00:00,Milan
CP0213,Esselunga,Still Water Bio,Lavazza,2.43,2026-05-01T03:51:00,Milan
CP0214,Esselunga,Sparkling Water Bio 1.5l,Mulino Bianco,1.89,2026-03-26T00:00:00,Milan
CP0215,Esselunga,Bio Orange Juice Bio 1.25l,Bio,2.65,2026-03-11T00:00:00,Milan
CP0216,Esselunga,Apple Juice Bio 0.75l,Naturama,1.95,2026-01-09T01:57:00,Milan
CP0217,Esselunga,Cola Bio,Esselunga,2.65,2026-04-15T20:52:00,Milan
CP0218,Esselunga,Smart Lemon Soda Bio,Smart,2.56,2026-04-24T00:00:00,Milan
CP0219,Esselunga,Atlante Green Tea Bio 20pcs,Atlante,2.17,2026-03-30T00:00:00,Milan
CP0220,Esselunga,Naturama Black Tea Bio,Naturama,2.71,2026-01-23T08:22:00,Milan
CP0221,Esselunga,Dish Soap Bio,Esselunga,7.65,2026-01-18T07:41:00,Milan
CP0222,Esselunga,Esselunga Laundry Detergent Bio,Esselunga,7.28,2026-04-22T03:32:00,Milan
CP0223,Esselunga,Toilet Paper Bio 12pcs,Esselunga,6.73,2026-04-16T03:52:00,Milan
CP0224,Esselunga,Kitchen Towels Bio 6pcs,Smart,7.31,2026-02-22T00:00:00,Milan
CP0225,Esselunga,Multi Surface Cleaner Bio,Bio,4.21,2026-03-21T02:53:00,Milan
CP0226,Esselunga,Mulino Bianco Bleach Bio 2l,Mulino Bianco,7.43,2026-02-07T00:00:00,Milan
CP0227,Esselunga,Top Shampoo Bio 250ml ,Top,4.14,2026-01-15T00:00:00,Milan
CP0228,Esselunga,Conditioner Bio, Esselunga,4.81,2026-03-06T00:00:00,Milan
CP0229,Esselunga,Hand Soap Bio 450ml,Esselunga,6.46,2026-03-18T04:35:00,Milan
CP0230,Esselunga,Body Wash Bio,Bio,5.29,2026-03-27T00:00:00,Milan
CP0231,Esselunga,Toothpaste Bio 56.25ml,Naturama,4.36,2026-04-28T00:00:00,Milan
CP0232,Esselunga,Fidaty Mozzarella Family Pack 187.5g,Fidaty,2.51,2026-01-07T00:00:00,Milan
CP0233,Esselunga,Esselunga Mozzarella di Bufala Family Pack 125g,Esselunga,3.06,2026-04-27T00:00:00,Milan
CP0234,Esselunga,Fior di latte mozzarella Family Pack,Naturama,2.84,2026-04-13T00:00:00,Milan
CP0235,Esselunga,Greek Yogurt Family Pack 127.5g,Bio,1.98,2026-03-15T00:00:00,Milan
CP0236,Esselunga,Barilla Strawberry Yogurt Family Pack 1.5pcs,Barilla,1.62,2026-01-29T07:58:00,Milan
CP0237,Esselunga,Plain Yogurt Family Pack 500g,Top,3.07,2026-01-02T00:00:00,Milan
CP0238,Esselunga,Atlante Whole Milk Family Pack 1l,Atlante,2.4,2026-03-31T07:49:00,Milan
CP0239,Esselunga, De Cecco Semi-skimmed Milk Family Pack 1l ,De Cecco,2.14,2026-03-05T00:00:00,Milan
CP0240,Esselunga,Lactose Free Milk Family Pack 0.75l,FIDATY,1.99,2026-01-20T00:00:00,Milan
CP0241,Esselunga,Unsalted Butter Family Pack 250g,Fidaty,2.62,2026-01-04T00:00:00,Milan
CP0242,Esselunga,Smart Salted Butter Family Pack,Smart,2.15,2026-01-12T10:47:00,Milan
CP0243,Esselunga,Parmigiano Reggiano Family Pack,Fidaty,3.12,2026-01-30T00:00:00,Milan
CP0244,Esselunga,Rio Mare Gorgonzola Family Pack,Rio Mare,3.08,2026-04-17T00:00:00,Milan
CP0245,Esselunga,Atlante Ricotta Family Pack,Atlante,2.87,2026-01-15T00:00:00,Milan
CP0246,Esselunga,Whole Wheat Bread Family Pack,Bio,1.77,2026-02-02T02:04:00,Milan
CP0247,Esselunga,Ciabatta Family Pack,Smart,3.73,2026-03-23T00:00:00,Milan
CP0248,Esselunga,Barilla Sandwich Bread Family Pack,Barilla,3.72,2026-02-17T15:11:00,Milan
CP0249,Esselunga,Esselunga Butter Croissant Family Pack,Esselunga,2.43,2026-03-13T09:30:00,Milan
CP0250,Esselunga,Chocolate Croissant Family Pack,Naturama,1.97,2026-04-17T02:02:00,Milan
CP0251,Esselunga,Chocolate Chip Cookies Family Pack,Esselunga,0.0,2026-03-29T13:57:00,Milan
CP0252,Esselunga,Digestive Biscuits Family Pack 400g,Esselunga,1.99,2026-03-15T00:00:00,Milan
CP0253,Esselunga,Cherry Tomatoes Family Pack,Top,4.17,2026-03-14T15:31:00,Milan
CP0254,Esselunga,Round Tomatoes Family Pack,Bio,4.11,2026-04-30T16:49:00,Milan
CP0255,Esselunga,Esselunga Iceberg Lettuce Family Pack 1.5pcs,Esselunga,4.36,2026-02-16T00:00:00,Milan
