product_id,store_name,product_name,brand,price_eur,last_updated,city
CP0001,Lidl,Mozzarella - Chef Select,Chef Select,2.42,2026-02-11T00:00:00,Milan
CP0002,Lidl,Mozzarella di Bufala 125g,Bellarom,2.0,2026-03-19T00:00:00,Milan
CP0003,Lidl,Fior di latte mozzarella - Cien,Cien,1.59,2026-01-10T00:00:00,Milan
CP0004,Lidl,Greek Yogurt 170g,Bellarom,2.3,2026-01-06T23:58:00,Milan
CP0005,Lidl,Strawberry Yogurt - W5,W5,2.22,2026-03-04T00:00:00,Milan
CP0006,Lidl,Plain Yogurt 500g,Italiamo,2.8,2026-01-21T09:58:00,Milan
CP0007,Lidl,Whole Milk 1l,Freshona,1.7,2026-03-29T00:00:00,Milan
CP0008,Lidl,Semi-skimmed Milk,Sondey,1.37,2026-02-12T00:00:00,Milan
CP0009,Lidl,Sondey Lactose Free Milk,Sondey,2.33,2026-01-21T05:00:00,Milan
CP0010,Lidl,Bellarom Unsalted Butter,Bellarom,1.93,2026-03-08T00:00:00,Milan
CP0011,Lidl,Salted Butter,Bellarom,2.26,2026-04-23T00:00:00,Milan
CP0012,Lidl,Parmigiano Reggiano,Italiamo,1.8,2026-02-13T02:07:00,Milan
CP0013,Lidl,Gorgonzola,Barilla ,1.49,2026-04-12T18:12:00,Milan
CP0014,Lidl,Ricotta 250g,Parmalat,1.96,2026-01-23T19:12:00,Milan
CP0015,Lidl,Whole Wheat Bread 500g,Italiamo,3.03,2026-03-07T05:35:00,Milan
CP0016,Lidl,Ciabatta - Cien,Cien,1.63,2026-02-13T00:00:00,Milan
CP0017,Lidl,Sandwich Bread,Freshona,2.0,2026-03-21T04:30:00,Milan
CP0018,Lidl,Butter Croissant,Cien,2.07,2026-01-04T00:00:00,Milan
CP0019,Lidl,Chocolate Croissant,W5,2.27,2026-04-08T01:11:00,Milan
CP0020,Lidl,Chocolate Chip Cookies - Lavazza,Lavazza,3.2,2026-02-20T20:15:00,Milan
CP0021,Lidl,Digestive Biscuits,W5,3.3,2026-01-06T21:59:00,Milan
CP0022,Lidl, Sondey Cherry Tomatoes,Sondey,2.75,2026-02-09T11:37:00,Milan
CP0023,Lidl,Round Tomatoes 1kg,Sondey,3.22,2026-03-26T00:00:00,Milan
CP0024,Lidl,Iceberg Lettuce,Bellarom,3.04,2026-02-12T00:00:00,Milan
CP0025,Lidl,Rocket Salad - Cien,Cien,1.73,2026-02-17T19:27:00,Milan
CP0026,Lidl,Golden Apples,Ferrero,3.64,2026-01-20T00:00:00,Milan
CP0027,Lidl,Pink Lady Apples,Milbona,3.01,2026-01-15T00:00:00,Milan
CP0028,Lidl,Bananas - Milbona,Milbona,2.71,2026-02-08T00:00:00,Milan
CP0029,Lidl,Potatoes,Mulino Bianco,1.71,2026-01-17T13:01:00,Milan
CP0030,Lidl,chicken breast,Chef Select,5.5,2026-03-16T00:00:00,Milan
CP0031,Lidl,Chicken Thighs 500g,Chef Select,3.31,2026-01-31T00:00:00,Milan
CP0032,Lidl,Minced Beef - Sondey,Sondey,6.59,2026-02-26T00:00:00,Milan
CP0033,Lidl,Beef Steak,De Cecco,4.03,2026-03-25T00:00:00,Milan
CP0034,Lidl,Prosciutto Cotto - Milbona,Milbona,3.35,2026-03-21T00:00:00,Milan
CP0035,Lidl,Salame Milano,Italiamo,3.61,2026-02-08T00:00:00,Milan
CP0036,Lidl,Spaghetti - Barilla,BARILLA,3.93,2026-03-24T05:14:00,Milan
CP0037,Lidl,Chef Select Penne Rigate,Chef Select,2.9,2026-01-25T00:00:00,Milan
CP0038,Lidl,Fusilli - Combino,COMBINO,3.04,2026-01-26T00:00:00,Milan
CP0039,Lidl,Combino Carnaroli Rice,Combino,1.86,2026-02-07T00:00:00,Milan
CP0040,Lidl,Basmati Rice - De Cecco,De Cecco,4.14,2026-03-31T00:00:00,Milan
CP0041,Lidl,Tomato Passata - Freshona,Freshona,2.4,2026-01-25T00:00:00,Milan
CP0042,Lidl,Pesto Genovese 190g,Combino,1.92,2026-03-24T00:00:00,Milan
CP0043,Lidl,Extra Virgin Olive Oil,Freshona,4.0,2026-04-02T00:00:00,Milan
CP0044,Lidl,Italiamo Sunflower Oil,Italiamo,1.87,2026-02-06T00:00:00,Milan
CP0045,Lidl,All Purpose Flour - Chef Select,Chef Select,2.34,2026-02-20T00:00:00,Milan
CP0046,Lidl,00 Flour,Combino,3.16,2026-02-04T00:00:00,Milan
CP0047,Lidl,Cien White Sugar,Cien,3.74,2026-04-12T00:00:00,Milan
CP0048,Lidl,Brown Sugar 1kg,Bellarom ,2.61,2026-04-13T00:00:00,Milan
CP0049,Lidl,Ground Coffee,Granarolo,2.67,2026-03-25T00:00:00,Milan
CP0050,Lidl,Coffee Beans - Parmalat,Parmalat,2.44,2026-02-21T22:10:00,Milan
CP0051,Lidl,Corn Flakes,Chef Select,3.64,2026-04-17T00:51:00,Milan
CP0052,Lidl,Milbona Muesli,Milbona,3.38,2026-03-05T00:00:00,Milan
CP0053,Lidl,Bellarom Margherita Pizza,Bellarom,4.65,2026-01-13T00:00:00,Milan
CP0054,Lidl,Vegetable Pizza - W5,W5,3.43,2026-02-19T00:00:00,Milan
CP0055,Lidl,Frozen Peas 450g,Combino,4.56,2026-03-24T22:32:00,Milan
CP0056,Lidl,Frozen Spinach,Italiamo,3.99,2026-03-31T19:15:00,Milan
CP0057,Lidl,Frozen Salmon Fillets 400g,Cien,3.12,2026-02-20T05:52:00,Milan
CP0058,Lidl,Fish Fingers,Combino,5.08,2026-03-01T21:52:00,Milan
CP0059,Lidl,Still Water,De Cecco,2.0,2026-04-14T00:00:00,Milan
CP0060,Lidl,Sparkling Water - Freshona,Freshona,1.62,2026-03-13T05:34:00,Milan
CP0061,Lidl,Orange Juice 1l,Mutti,1.47,2026-04-24T00:00:00,Milan
CP0062,Lidl,Apple Juice - Freshona,Freshona,1.96,2026-01-12T05:50:00,Milan
CP0063,Lidl,Combino Cola,Combino,2.2,2026-03-11T00:00:00,Milan
CP0064,Lidl,Lemon Soda - Sondey,Sondey,1.68,2026-04-05T00:00:00,Milan
CP0065,Lidl,W5 Green Tea,W5,0.99,2026-04-14T00:00:00,Milan
CP0066,Lidl,Barilla Black Tea,Barilla,2.12,2026-04-16T00:00:00,Milan
CP0067,Lidl, Cien Dish Soap,Cien,2.64,2026-02-08T00:00:00,Milan
CP0068,Lidl,Laundry Detergent 1.5l,Cien,4.31,2026-04-19T00:00:00,Milan
