store_product_id,canonical_product_id,alt_group_id,category,subcategory,product_name,brand,size,unit,pack_count,price_eur,promo_price_eur,currency,availability,store_name,city,last_updated,barcode,notes
CON-00001,CP0001,ALT0001,Dairy,Mozzarella,Sapori e Dintorni Mozzarella confezione,Sapori e Dintorni,,g,1,2.38, 1.76 ,eur,in stock,Conad,MILANO,15-01-2026,4729539384264,
CON-00002,CP0002,ALT0002,Dairy,Mozzarella,Ferrero Mozzarella di Bufala confezione,Ferrero,125,g,1,2.47,,EUR,limited,Conad,Milano,2026-03-09,0996622906347,
CON-00003,CP0003,ALT0003,Dairy,Mozzarella,Fior di latte mozzarella 200g,Conad,200,g,8,EUR 2.80,2.43,eur,limited,Conad,MILANO,19/03/2026,3610508440684,check allergen label
CON-00004,CP0004,ALT0004,Dairy,Yogurt, Parmalat Greek Yogurt,Parmalat,170,g,,2.62, 2.19 ,€,low stock,Conad,MILANO,2026-03-07,6259834995666,promo shelf
CON-00005,CP0005,ALT0005,Dairy,Yogurt,Strawberry Yogurt,Petfriends,,pcs,1, 2.33 ,,eur,OUT OF STOCK,Conad,Milan,2026-03-27 00:07:00,3712584543137,new
CON-00006,CP0006,ALT0006,Dairy,Yogurt,Plain Yogurt 500g,Verso Natura,500,g,1, 2.83 ,"2,58",eur,limited,Conad,Milano,23/01/2026,,promo shelf
CON-00007,CP0007,ALT0007,Dairy,Milk,Verso Natura Whole Milk,Verso Natura,1,l,4,EUR 2.51,,EUR,,Conad,milan,03-01-2026,9421726082135,seasonal item
CON-00008,CP0008,ALT0008,Dairy,Milk,Semi-skimmed Milk 1l,Sapori e Dintorni,1,l,8,,,eur,limited,Conad,MILANO,05/04/2026,9741397317706,promo shelf
CON-00009,CP0009,ALT0009,Dairy,Milk,Piacersi Lactose Free Milk,Piacersi,1,l,4, 2.60 ,,€,in stock,CONAD,Milano,2026/02/09 01:29,8190960760456,promo shelf
CON-00010,CP0010,ALT0010,Dairy,Butter,Conad Unsalted Butter confezione,Conad,250,g,4,EUR 3.06,,EUR,low stock,Conad,milan,27/04/2026,3783852635325,imported
