store_product_id,canonical_product_id,alt_group_id,category,subcategory,product_name,brand,size,unit,pack_count,price_eur,promo_price_eur,currency,availability,store_name,city,last_updated,barcode,notes
LID-00001,CP0001,ALT0001,Dairy,Mozzarella,Mozzarella - Chef Select,Chef Select,125,g,6,2.42,,Euro,available,Lidl ,milan,11-02-2026,3482477109324,promo shelf
LID-00002,CP0002,ALT0002,Dairy,Mozzarella,Mozzarella di Bufala 125g,Bellarom,125,g,8,EUR 2.00,"1,82",eur,in stock,Lidl,MILANO,2026-03-19,4997278755886,limited edition
LID-00003,CP0003,ALT0003,Dairy,Mozzarella,Fior di latte mozzarella - Cien,Cien,200,g,6,1.59,,Euro,in stock,Lidl,milan,10-01-2026,7026217459615,
LID-00004,CP0004,ALT0004,Dairy,Yogurt,Greek Yogurt 170g,Bellarom,170,g,8,2.30,,EUR,available,Lidl,milan,2026/01/06 23:58,4556238692221,promo shelf
LID-00005,CP0005,ALT0005,Dairy,Yogurt,Strawberry Yogurt - W5,W5,2,pcs,8, 2.22 ,"€1,91",€,,Lidl,milan,04-03-2026,1369594406409,limited edition
LID-00006,CP0006,ALT0006,Dairy,Yogurt,Plain Yogurt 500g,Italiamo,500,g,2,"2,80",,EUR,,Lidl,milan,2026-01-21 09:58:00,2145623285884,private label
LID-00007,CP0007,ALT0007,Dairy,Milk,Whole Milk 1l,Freshona,1,l,1,"€1,70",,€,in stock,Lidl,Milano,29-03-2026,4965137098593,imported
LID-00008,CP0008,ALT0008,Dairy,Milk,Semi-skimmed Milk,Sondey,1,l,8,"€1,37",EUR 0.97,eur,available,Lidl,MILANO,2026-02-12,3773515850643,
LID-00009,CP0009,ALT0009,Dairy,Milk,Sondey Lactose Free Milk,Sondey,1,l,1,"2,33",,eur,limited,Lidl,Milan,2026/01/21 05:00,2284210205395,
LID-00010,CP0010,ALT0010,Dairy,Butter,Bellarom Unsalted Butter,Bellarom,250,g,8,1.93,EUR 1.38,EUR,in stock,Lidl,MILANO,08-03-2026,7115921249985,private label
